Nome progetto;Link repo;OSE;BCE;PDE;SV;OS;SD;RS;TFS;UI;TC;NoD;NCD;PCD;NI;NC;TZ
Data Science iPython;https://github.com/donnemartin/data-science-ipython-notebooks;0;1;1;1;0;0;0;1;1;1;13;543;0,07;35;6;9
Istant Neural Graphics;https://github.com/NVlabs/instant-ngp;1;0;1;1;0;1;1;1;1;0;41;684;0,02;815;3;14
Basic Machine Learming and Deep Learning;https://github.com/wepe/MachineLearning;1;1;1;1;0;0;1;1;1;1;6;72;0,33;32;2;1
Covidify;https://github.com/AaronWard/covidify;0;0;1;1;0;0;0;1;1;0;11;270;0,72;32;2;6
Antialiased CNNs;https://github.com/adobe/antialiased-cnns;0;0;1;1;0;1;0;1;1;0;8;239;0,25;46;3;3
AdvBox;https://github.com/advboxes/AdvBox;0;0;1;1;0;1;0;1;1;0;21;378;0,04;38;3;4
AI chatbot framework;https://github.com/alfredfrancis/ai-chatbot-framework;1;1;1;1;1;1;0;1;0;0;26;412;0,07;110;5;15
AI Matrix;https://github.com/alibaba/ai-matrix;0;0;1;1;0;0;0;1;1;1;9;299;0,44;14;2;5
SciBERT;https://github.com/allenai/scibert;0;0;1;1;0;0;0;1;1;0;8;253;0,75;89;2;5
Neural-Backed Decision Tree;https://github.com/alvinwan/neural-backed-decision-trees;0;0;1;1;0;0;0;1;1;0;18;830;0,55;26;4;7
Ktrain;https://github.com/amaiya/ktrain;0;0;1;1;0;1;0;1;0;0;18;2938;0,11;451;3;12
Embedding as service;https://github.com/amansrivastava17/embedding-as-service;0;0;1;1;0;1;0;1;1;1;14;396;0,14;24;3;5
Transfer and meta-learning in Python;https://github.com/amzn/xfer;1;0;1;1;1;0;0;1;0;1;11;200;0,27;12;4;5
einops;https://github.com/arogozhnikov/einops;0;1;1;1;0;1;0;1;0;0;23;588;0,08;138;5;10
help_ml;https://github.com/arogozhnikov/hep_ml;0;0;1;1;0;1;0;1;1;0;12;357;0,16;58;4;7
Flambè;https://github.com/asappresearch/flambe;0;0;1;1;0;0;0;1;1;0;29;661;0,65;48;3;7
SRU ++;https://github.com/asappresearch/sru;0;0;1;1;0;1;1;1;1;0;22;400;0,09;127;3;8
Transformer TTS;https://github.com/as-ideas/TransformerTTS;0;1;1;1;0;0;0;1;0;1;6;461;0,83;87;1;4
rlpyt;https://github.com/astooke/rlpyt;0;0;0;1;0;0;0;1;1;0;18;658;0,27;168;2;10
Athena;https://github.com/athena-team/athena;0;0;1;1;0;0;0;1;1;0;36;689;0,38;135;3;4
Visual Dialog Challlenge Starter Code;https://github.com/batra-mlp-lab/visdial-challenge-starter-pytorch;0;0;1;1;0;0;1;1;0;0;6;121;0,33;28;3;6
nflows;https://github.com/bayesiains/nflows;1;1;1;0;1;1;0;0;0;0;28;159;0,03;45;5;5
Text Recognition Data Generator;https://github.com/Belval/TextRecognitionDataGenerator;1;1;1;0;1;1;1;1;0;0;33;152;0,03;212;9;14
